"countryIsoCode","country","year","Carbon dioxide emissions per capita (production) (tonnes)","Coefficient of human inequality","Gender Inequality Index (value)","Inequality in eduation","Inequality in income","Inequality in life expectancy","Labour force participation rate, female (% ages 15 and older)","Labour force participation rate, male (% ages 15 and older)","Material footprint per capita (tonnes)","Maternal Mortality Ratio (deaths per 100,000 live births)","Share of seats in parliament, female (% held by women)","Share of seats in parliament, male (% held by men)"
"RUS","Russian Federation","2009",10.792,NA,0.288,NA,NA,NA,62.54,73.41,10.824,19.239,11.47,88.53
"RUS","Russian Federation","2010",11.399,10.643,0.275,3.904,20.038,7.987,62.27,73.84,11.063,17.168,11.47,88.53
"RUS","Russian Federation","2011",11.76,10.305,0.261,3.279,20.038,7.596,63.01,74.39,13.213,14.246,11.147,88.853
"RUS","Russian Federation","2012",11.845,10.962,0.243,3.279,21.767,7.84,63.27,74.7,13.558,12.253,12.072,87.928
"RUS","Russian Federation","2013",11.395,10.763,0.232,3.047,21.767,7.475,63.02,74.7,13.93,10.868,12.072,87.928
"RUS","Russian Federation","2014",11.366,10.15,0.223,2.803,20.605,7.042,63.34,75.11,13.146,9.869,12.072,87.928
"RUS","Russian Federation","2015",11.327,9.746,0.207,2.712,20.008,6.518,63.45,75.53,11.781,10.467,14.516,85.484
"RUS","Russian Federation","2016",11.267,9.322,0.197,2.346,19.525,6.094,63.83,75.94,12.314,8.473,13.871,86.129
"RUS","Russian Federation","2017",11.455,9.136,0.18,2.207,19.646,5.554,55.65,71.34,13.137,8.746,16.129,83.871
"RUS","Russian Federation","2018",11.757,8.611,0.171,2.076,18.529,5.227,55.86,71.32,11.733,8.779,16.129,83.871
"RUS","Russian Federation","2019",11.699,8.486,0.164,2.036,18.346,5.077,55.31,70.55,12.641,7.453,16.452,83.548
"RUS","Russian Federation","2020",11.214,8.743,0.187,2.036,18.675,5.519,55.12,70.05,14.256,13.723,16.129,83.871
"RUS","Russian Federation","2021",11.798,8.752,0.186,2.036,18.675,5.546,55.42,70.59,11.934,13.723,16.452,83.548
"RUS","Russian Federation","2022",11.798,8.737,0.178,2.036,18.675,5.5,55.53,70.33,11.351,13.723,17.771,82.229
"SMR","San Marino","2018",NA,NA,NA,5.557,NA,2.745,71.2,72.62,NA,NA,26.667,73.333
"SMR","San Marino","2019",NA,NA,NA,5.557,NA,2.713,71.53,72.58,NA,NA,25,75
"SMR","San Marino","2020",NA,NA,NA,5.557,NA,3.004,70.46,71.75,NA,NA,33.333,66.667
"SMR","San Marino","2021",NA,NA,NA,5.557,NA,2.832,70.96,71.07,NA,NA,33.333,66.667
"SMR","San Marino","2022",NA,NA,NA,5.557,NA,2.537,70.36,70.58,NA,NA,33.333,66.667
"SMR","San Marino","2010",NA,NA,NA,NA,NA,2.943,54.22,79.47,NA,NA,16.667,83.333
"SMR","San Marino","2011",NA,NA,NA,NA,NA,2.888,54.15,78.87,NA,NA,18.333,81.667
"SMR","San Marino","2012",NA,NA,NA,NA,NA,3.119,54.35,79.06,NA,NA,16.667,83.333
"SMR","San Marino","2013",NA,NA,NA,NA,NA,2.876,54.38,78.95,NA,NA,18.333,81.667
"SMR","San Marino","2014",NA,NA,NA,NA,NA,2.821,54.63,79.09,NA,NA,18.333,81.667
"SMR","San Marino","2015",NA,NA,NA,NA,NA,2.802,60,82,NA,NA,16.667,83.333
"SMR","San Marino","2016",NA,NA,NA,NA,NA,2.781,84.96,77.63,NA,NA,23.333,76.667
"SMR","San Marino","2017",NA,NA,NA,NA,NA,2.772,70.91,73.25,NA,NA,26.667,73.333
"SMR","San Marino","1990",NA,NA,NA,NA,NA,NA,51.54,72.54,NA,NA,11.667,88.333
"SMR","San Marino","1991",NA,NA,NA,NA,NA,NA,52.07,72.67,NA,NA,11.667,88.333
"SMR","San Marino","1992",NA,NA,NA,NA,NA,NA,53.17,73.42,NA,NA,11.667,88.333
"SMR","San Marino","1993",NA,NA,NA,NA,NA,NA,54.23,73.61,NA,NA,11.667,88.333
"SMR","San Marino","1994",NA,NA,NA,NA,NA,NA,54.4,74.7,NA,NA,11.667,88.333
"SMR","San Marino","1995",NA,NA,NA,NA,NA,NA,54.56,75.78,NA,NA,11.667,88.333
"SMR","San Marino","1996",NA,NA,NA,NA,NA,NA,55.42,75.87,NA,NA,11.667,88.333
"SMR","San Marino","1997",NA,NA,NA,NA,NA,NA,55.96,75.81,NA,NA,11.667,88.333
"SMR","San Marino","1998",NA,NA,NA,NA,NA,NA,56.45,76.04,NA,NA,13.333,86.667
"SMR","San Marino","1999",NA,NA,NA,NA,NA,NA,57.32,75.96,NA,NA,13.333,86.667
"SMR","San Marino","2000",NA,NA,NA,NA,NA,NA,55.78,78.81,NA,NA,13.333,86.667
"SMR","San Marino","2001",NA,NA,NA,NA,NA,NA,54.24,81.65,NA,NA,16.667,83.333
"SMR","San Marino","2002",NA,NA,NA,NA,NA,NA,54.45,80.68,NA,NA,16.667,83.333
"SMR","San Marino","2003",NA,NA,NA,NA,NA,NA,53.8,79.25,NA,NA,16.667,83.333
"SMR","San Marino","2004",NA,NA,NA,NA,NA,NA,53.83,79.16,NA,NA,16.667,83.333
"SMR","San Marino","2005",NA,NA,NA,NA,NA,NA,53.44,78.69,NA,NA,16.667,83.333
"SMR","San Marino","2006",NA,NA,NA,NA,NA,NA,54.05,79.11,NA,NA,11.667,88.333
"SMR","San Marino","2007",NA,NA,NA,NA,NA,NA,54.3,79.59,NA,NA,11.667,88.333
"SMR","San Marino","2008",NA,NA,NA,NA,NA,NA,54.4,79.76,NA,NA,15,85
"SMR","San Marino","2009",NA,NA,NA,NA,NA,NA,54.33,79.28,NA,NA,16.667,83.333
"SRB","Serbia","1990",7.24,NA,NA,NA,NA,NA,NA,NA,NA,15.138,NA,NA
"SRB","Serbia","1991",5.143,NA,NA,NA,NA,NA,NA,NA,NA,15.23,NA,NA
"SRB","Serbia","1992",5.499,NA,NA,NA,NA,NA,NA,NA,NA,16.135,NA,NA
"SRB","Serbia","1993",4.788,NA,NA,NA,NA,NA,NA,NA,NA,16.599,NA,NA
"SRB","Serbia","1994",4.647,NA,NA,NA,NA,NA,NA,NA,NA,17.677,NA,NA
"SRB","Serbia","1995",4.903,NA,NA,NA,NA,NA,NA,NA,NA,17.149,NA,NA
"SRB","Serbia","1996",5.733,NA,NA,NA,NA,NA,NA,NA,NA,15.048,NA,NA
"SRB","Serbia","1997",6.16,NA,NA,NA,NA,NA,NA,NA,NA,15.848,NA,NA
"SRB","Serbia","1998",6.497,NA,NA,NA,NA,NA,NA,NA,NA,17.504,NA,NA
"SRB","Serbia","1999",4.496,NA,NA,NA,NA,NA,NA,NA,NA,14.207,NA,NA
"SRB","Serbia","2000",5.665,NA,NA,NA,NA,NA,NA,NA,NA,17.817,NA,NA
"SRB","Serbia","2001",6.227,NA,NA,NA,NA,NA,NA,NA,NA,14.851,NA,NA
"SRB","Serbia","2002",6.608,NA,NA,NA,NA,NA,NA,NA,NA,14.669,NA,NA
"SRB","Serbia","2003",7.077,NA,NA,NA,NA,NA,NA,NA,NA,14.42,NA,NA
"SRB","Serbia","2004",7.651,NA,NA,NA,NA,NA,47,64.6,NA,15.462,NA,NA
"SRB","Serbia","2005",6.594,NA,NA,NA,NA,NA,44.6,63,NA,16.122,NA,NA
"SRB","Serbia","2006",7.805,NA,0.255,NA,NA,NA,42.53,60.11,11.88,15.92,12,88
"SRB","Serbia","2007",7.676,NA,0.218,NA,NA,NA,42.82,59.72,12.598,15.408,20.4,79.6
"SRB","Serbia","2008",6.705,NA,0.212,NA,NA,NA,43.38,60.34,13.283,14.868,21.6,78.4
"SRB","Serbia","2009",5.97,NA,0.209,NA,NA,NA,41.35,57.65,12.409,14.671,21.6,78.4
"SRB","Serbia","2010",5.97,NA,0.207,NA,21.012,5.446,39.03,55.48,12.952,14.237,21.6,78.4
"SRB","Serbia","2011",6.424,NA,0.203,NA,21.012,5.246,37.99,55.58,14.834,13.963,22,78
"SRB","Serbia","2012",5.762,NA,0.174,NA,21.012,5.162,38.3,55.75,13.927,13.45,33.2,66.8
"SRB","Serbia","2013",5.89,12.862,0.166,9.898,23.584,5.103,40.45,57.11,14.182,12.95,33.2,66.8
"SRB","Serbia","2014",4.932,12.763,0.163,9.797,23.584,4.907,43.82,60.66,12.988,12.708,34,66
"SRB","Serbia","2015",5.821,12.462,0.157,9.291,23.584,4.511,43.47,60.31,13.043,12.685,34,66
"SRB","Serbia","2016",6.011,11.135,0.146,8.153,20.712,4.541,45.45,61.79,12.897,12.112,34,66
"SRB","Serbia","2017",6.099,10.589,0.138,8.137,19.267,4.365,46.29,62.21,12.114,12.005,34.4,65.6
"SRB","Serbia","2018",5.962,9.546,0.128,7.472,16.893,4.272,46.69,62.86,14.709,11.47,34.4,65.6
"SRB","Serbia","2019",5.983,9.339,0.118,9.64,14.128,4.248,47.1,62.72,13.699,10.471,37.652,62.348
"SRB","Serbia","2020",6.139,8.216,0.118,7.195,13.3,4.151,46.51,61.94,14.924,10.181,38.8,61.2
"SRB","Serbia","2021",6.017,7.938,0.118,6.247,13.458,4.109,49.75,65.38,14.468,10.181,39.2,60.8
"SRB","Serbia","2022",6.017,7.938,0.119,6.247,13.458,4.109,50.97,66.1,14.458,10.181,36.555,63.445
"SVK","Slovakia","1990",11.684,NA,0.267,NA,NA,NA,59.7,73.04,NA,10.564,14.667,85.333
"SVK","Slovakia","1991",10.092,NA,0.275,NA,NA,NA,59.7,73.04,NA,10.999,14.667,85.333
"SVK","Slovakia","1992",9.221,NA,0.272,NA,NA,NA,57.41,71.42,NA,10.819,14.667,85.333
"SVK","Slovakia","1993",8.71,NA,0.263,NA,NA,NA,55.12,69.8,17.368,9.374,14.667,85.333
"SVK","Slovakia","1994",8.196,NA,0.256,NA,NA,NA,51.36,69.14,11.701,10.123,14.667,85.333
"SVK","Slovakia","1995",8.251,NA,0.242,NA,NA,NA,51.49,68.86,12.805,8.551,14.667,85.333
"SVK","Slovakia","1996",8.216,NA,0.235,NA,NA,NA,52.27,68.69,14.169,8.543,14.667,85.333
"SVK","Slovakia","1997",8.218,NA,0.23,NA,NA,NA,51.77,68.32,15.064,9.074,14.667,85.333
"SVK","Slovakia","1998",8.16,NA,0.224,NA,NA,NA,51.31,67.37,16.116,9.099,14.667,85.333
"SVK","Slovakia","1999",8.008,NA,0.228,NA,NA,NA,51.79,67.25,15.314,9.008,12.667,87.333
"SVK","Slovakia","2000",7.651,NA,0.214,NA,NA,NA,52.5,67.29,12.735,8.554,14,86
"SVK","Slovakia","2001",8.04,NA,0.2,NA,NA,NA,58.25,68.49,11.192,9.347,14,86
"SVK","Slovakia","2002",7.81,NA,0.19,NA,NA,NA,52.48,67.74,11.69,8.614,17.333,82.667
"SVK","Slovakia","2003",7.871,NA,0.182,NA,NA,NA,52.9,67.97,10.839,8.285,19.333,80.667
"SVK","Slovakia","2004",7.961,NA,0.191,NA,NA,NA,52.56,68.18,12.982,7.631,16.667,83.333
"SVK","Slovakia","2005",7.961,NA,0.192,NA,NA,NA,51.32,68.34,14.583,7.436,16.667,83.333
"SVK","Slovakia","2006",7.916,NA,0.18,NA,NA,NA,50.73,68.28,14.089,6.613,20,80
"SVK","Slovakia","2007",7.618,NA,0.182,NA,NA,NA,50.61,67.8,14.978,7.247,19.333,80.667
"SVK","Slovakia","2008",7.686,NA,0.184,NA,NA,NA,51.02,68.28,16.341,5.883,19.333,80.667
"SVK","Slovakia","2009",6.982,NA,0.192,NA,NA,NA,50.32,68.12,14.393,5.473,18,82
"SVK","Slovakia","2010",7.117,5.861,0.203,1.959,10.298,5.326,50.83,67.84,14.124,5.089,15.333,84.667
"SVK","Slovakia","2011",7.031,6.615,0.2,2.22,12.636,4.989,50.16,68.06,14.786,5.055,16,84
"SVK","Slovakia","2012",6.639,6.707,0.186,2.221,12.636,5.264,50.69,68.37,12.344,5.255,18.667,81.333
"SVK","Slovakia","2013",6.569,6.52,0.186,1.824,12.636,5.099,51.04,68.15,12.865,5.487,18.667,81.333
"SVK","Slovakia","2014",6.211,6.931,0.188,1.547,13.993,5.254,51.93,68.04,13.918,5.217,18.667,81.333
"SVK","Slovakia","2015",6.355,6.238,0.191,1.426,12.254,5.035,51.98,67.92,14.182,4.888,18.667,81.333
"SVK","Slovakia","2016",6.428,6.32,0.192,1.45,12.503,5.008,52.57,68.11,14.819,5.115,20,80
"SVK","Slovakia","2017",6.639,5.639,0.193,1.556,10.794,4.567,52.7,67.74,14.063,4.793,20,80
"SVK","Slovakia","2018",6.629,5.338,0.194,1.587,9.59,4.836,52.32,67.82,15.028,4.65,20,80
"SVK","Slovakia","2019",6.193,5.881,0.194,1.647,11.088,4.907,52.3,67.59,13.635,4.856,20,80
"SVK","Slovakia","2020",5.699,5.291,0.184,1.748,9.406,4.72,51.92,66.63,13.167,4.825,22.667,77.333
"SVK","Slovakia","2021",6.455,5.468,0.18,1.819,9.893,4.693,55.08,66.33,14.64,4.825,22.667,77.333
"SVK","Slovakia","2022",6.455,5.504,0.184,1.832,10.008,4.67,56.18,67.25,14.19,4.825,21.333,78.667
"SVN","Slovenia","1990",7.6,NA,0.288,NA,NA,NA,54.06,67.72,NA,12.657,7.778,92.222
"SVN","Slovenia","1991",7.023,NA,0.278,NA,NA,NA,54.06,67.72,NA,13.067,7.778,92.222
"SVN","Slovenia","1992",6.971,NA,0.271,NA,NA,NA,50.43,63.07,17.43,13.694,7.778,92.222
"SVN","Slovenia","1993",7.153,NA,0.259,NA,NA,NA,46.79,58.42,20.677,13.996,7.778,92.222
"SVN","Slovenia","1994",7.349,NA,0.246,NA,NA,NA,51.3,64.24,16.839,13.349,7.778,92.222
"SVN","Slovenia","1995",7.711,NA,0.24,NA,NA,NA,52.13,66.24,17.696,13.629,7.778,92.222
"SVN","Slovenia","1996",8.037,NA,0.224,NA,NA,NA,51.23,64.39,17.784,13.083,7.778,92.222
"SVN","Slovenia","1997",8.296,NA,0.213,NA,NA,NA,52.36,64.73,17.619,13.655,7.778,92.222
"SVN","Slovenia","1998",8.067,NA,0.191,NA,NA,NA,53.38,66.25,23.085,10.572,7.778,92.222
"SVN","Slovenia","1999",7.76,NA,0.183,NA,NA,NA,51.45,64.8,24.088,10.057,7.778,92.222
"SVN","Slovenia","2000",7.586,NA,0.189,NA,NA,NA,51.42,63.81,25.594,11.928,7.778,92.222
"SVN","Slovenia","2001",8.223,NA,0.139,NA,NA,NA,51.73,64.99,23.211,8.784,12.222,87.778
"SVN","Slovenia","2002",8.35,NA,0.132,NA,NA,NA,51.17,64.16,25.958,8.48,12.222,87.778
"SVN","Slovenia","2003",8.179,NA,0.128,NA,NA,NA,50.05,63.48,28.239,8.786,12.222,87.778
"SVN","Slovenia","2004",8.366,NA,0.125,NA,NA,NA,52.49,65.88,27.965,9.562,12.222,87.778
"SVN","Slovenia","2005",8.446,NA,0.134,NA,NA,NA,52.92,66.02,24.866,9.243,10.769,89.231
"SVN","Slovenia","2006",8.531,NA,0.127,NA,NA,NA,53.29,65.69,25.77,7.692,10.769,89.231
"SVN","Slovenia","2007",8.572,NA,0.14,NA,NA,NA,53.37,66.4,24.278,6.958,9.231,90.769
"SVN","Slovenia","2008",8.986,NA,0.135,NA,NA,NA,53.56,65.65,26.168,5.937,10,90
"SVN","Slovenia","2009",7.922,NA,0.13,NA,NA,NA,53.63,65.48,22.669,6.838,10.769,89.231
"SVN","Slovenia","2010",8.001,5.113,0.128,3.178,9.059,3.102,53.28,65.29,20.801,6.037,10.769,89.231
"SVN","Slovenia","2011",7.92,5.819,0.078,2.987,11.219,3.252,52.35,63.73,21.038,6.085,23.077,76.923
"SVN","Slovenia","2012",7.616,5.903,0.07,2.873,12.178,2.658,52.26,63.06,18.215,5.835,24.615,75.385
"SVN","Slovenia","2013",7.3,5.988,0.07,2.732,12.178,3.052,51.61,63.12,16.938,5.423,24.615,75.385
"SVN","Slovenia","2014",6.536,5.618,0.067,2.094,12.178,2.581,52.25,63.34,17.165,5.011,26.923,73.077
"SVN","Slovenia","2015",6.558,5.298,0.062,2.124,11.283,2.488,51.92,62.93,16.995,5.038,27.692,72.308
"SVN","Slovenia","2016",6.918,5.25,0.057,2.132,11.006,2.611,52.02,61.34,17.475,4.633,27.692,72.308
"SVN","Slovenia","2017",6.966,5.054,0.054,2.174,10.457,2.532,53.81,63.18,17.018,4.434,28.682,71.318
"SVN","Slovenia","2018",6.895,4.834,0.074,2.122,10.01,2.371,53.77,63.99,17.703,4.366,20,80
"SVN","Slovenia","2019",6.645,4.96,0.07,2.082,10.269,2.529,53.24,62.96,15.832,3.468,22.308,77.692
"SVN","Slovenia","2020",6.07,4.933,0.069,2.06,10.046,2.693,53.2,62.39,15.664,4.533,22.308,77.692
"SVN","Slovenia","2021",6.162,4.85,0.072,1.993,9.809,2.749,54.05,62.86,17.374,4.533,21.538,78.462
"SVN","Slovenia","2022",6.162,4.725,0.049,2.009,10.016,2.149,54.25,63.58,17.383,4.533,33.077,66.923
"SWE","Sweden","1990",6.728,NA,0.099,NA,NA,NA,71.25,77.49,23.047,6.928,40.401,59.599
"SWE","Sweden","1991",6.718,NA,0.097,NA,NA,NA,70.63,77,20.503,6.842,40.401,59.599
"SWE","Sweden","1992",6.663,NA,0.091,NA,NA,NA,69.26,75.41,21.236,6.695,40.401,59.599
"SWE","Sweden","1993",6.629,NA,0.088,NA,NA,NA,67.64,73.82,18.992,6.934,40.401,59.599
"SWE","Sweden","1994",6.88,NA,0.08,NA,NA,NA,66.76,73.32,19.966,6.291,40.401,59.599
"SWE","Sweden","1995",6.794,NA,0.072,NA,NA,NA,66.18,71.97,19.392,6.342,40.401,59.599
"SWE","Sweden","1996",7.214,NA,0.067,NA,NA,NA,57.36,65.42,19.583,6.456,40.401,59.599
"SWE","Sweden","1997",6.629,NA,0.063,NA,NA,NA,56.46,65.29,19.354,6.478,40.401,59.599
"SWE","Sweden","1998",6.66,NA,0.062,NA,NA,NA,54.99,65.59,22.543,5.444,40.401,59.599
"SWE","Sweden","1999",6.326,NA,0.059,NA,NA,NA,56.42,65.52,25.541,5.567,42.693,57.307
"SWE","Sweden","2000",6.192,NA,0.06,NA,NA,NA,56.46,64.51,24.249,6.146,42.693,57.307
"SWE","Sweden","2001",6.276,NA,0.056,NA,NA,NA,58.62,67.02,22.277,5.817,42.693,57.307
"SWE","Sweden","2002",6.351,NA,0.054,NA,NA,NA,58.72,66.75,22.734,5.671,44.986,55.014
"SWE","Sweden","2003",6.393,NA,0.049,NA,NA,NA,58.91,66.74,25.494,5.6,45.272,54.728
"SWE","Sweden","2004",6.277,NA,0.048,NA,NA,NA,58.57,66.64,25.279,5.279,45.272,54.728
"SWE","Sweden","2005",5.952,NA,0.047,NA,NA,NA,58.77,67.1,25.408,5.08,45.272,54.728
"SWE","Sweden","2006",5.902,NA,0.047,NA,NA,NA,59.24,67.6,24.524,5.154,47.278,52.722
"SWE","Sweden","2007",5.783,NA,0.047,NA,NA,NA,59.68,67.8,26.055,5.073,46.991,53.009
"SWE","Sweden","2008",5.511,NA,0.048,NA,NA,NA,59.8,68.19,25.075,5.008,46.991,53.009
"SWE","Sweden","2009",5.079,NA,0.049,NA,NA,NA,59.39,67.32,22.604,4.965,46.418,53.582
"SWE","Sweden","2010",5.662,6.631,0.051,4.088,12.759,3.048,67.11,73.88,23.668,4.531,44.986,55.014
"SWE","Sweden","2011",5.198,6.597,0.051,3.973,13.027,2.793,67.86,73.94,25.318,4.889,44.699,55.301
"SWE","Sweden","2012",4.888,6.594,0.047,3.863,12.9,3.018,68.26,73.94,24.808,4.928,44.699,55.301
"SWE","Sweden","2013",4.685,7.127,0.046,3.861,14.465,3.056,68.68,74.25,25.536,4.928,44.986,55.014
"SWE","Sweden","2014",4.46,6.864,0.043,4.009,13.77,2.812,69.11,74.73,24.496,4.779,44.699,55.301
"SWE","Sweden","2015",4.408,7.227,0.038,3.909,14.817,2.955,69.5,74.43,23.487,4.446,43.553,56.447
"SWE","Sweden","2016",4.362,7.275,0.036,3.865,15.022,2.938,69.67,74.44,25.17,4.423,43.553,56.447
"SWE","Sweden","2017",4.221,7.068,0.034,3.792,14.552,2.858,70.22,75.15,24.437,4.512,43.553,56.447
"SWE","Sweden","2018",4.137,7.246,0.03,3.686,15.323,2.729,70.64,75.24,26.106,4.535,46.132,53.868
"SWE","Sweden","2019",3.994,7.188,0.023,3.655,15.237,2.671,71.04,75.6,25.245,4.529,47.278,52.722
"SWE","Sweden","2020",3.538,6.784,0.023,3.502,14.053,2.796,70.39,76.09,25.32,4.508,46.991,53.009
"SWE","Sweden","2021",3.681,7.09,0.023,3.439,15.22,2.61,63.25,70.07,26.848,4.508,46.991,53.009
"SWE","Sweden","2022",3.681,7.607,0.023,3.406,16.943,2.471,63.68,70.38,26.679,4.508,46.418,53.582
"TUR","Turkey","1990",2.791,NA,0.587,NA,NA,NA,34.15,79.7,10.38,42.79,2.364,97.636
"TUR","Turkey","1991",2.858,NA,0.59,NA,NA,NA,34.14,80.26,9.424,42.032,2.364,97.636
"TUR","Turkey","1992",2.914,NA,0.59,NA,NA,NA,32.72,79.64,9.72,42.936,2.364,97.636
"TUR","Turkey","1993",2.987,NA,0.603,NA,NA,NA,26.79,78.03,10.953,41.604,2.364,97.636
"TUR","Turkey","1994",2.874,NA,0.59,NA,NA,NA,31.28,78.49,8.525,40.826,2.364,97.636
"TUR","Turkey","1995",3.058,NA,0.585,NA,NA,NA,30.92,77.78,10.029,37.016,2.364,97.636
"TUR","Turkey","1996",3.311,NA,0.581,NA,NA,NA,30.57,77.34,10.614,35.575,2.364,97.636
"TUR","Turkey","1997",3.461,NA,0.582,NA,NA,NA,28.81,76.72,10.721,35.436,2.364,97.636
"TUR","Turkey","1998",3.408,NA,0.577,NA,NA,NA,29.26,76.74,11.406,34.898,2.364,97.636
"TUR","Turkey","1999",3.291,NA,0.534,NA,NA,NA,29.99,75.8,9.989,32.402,4.182,95.818
"TUR","Turkey","2000",3.586,NA,0.539,NA,NA,NA,26.56,75.9,10.162,31.699,4.182,95.818
"TUR","Turkey","2001",3.282,NA,0.529,NA,NA,NA,27.14,72.85,7.562,30.366,4.182,95.818
"TUR","Turkey","2002",3.352,NA,0.513,NA,NA,NA,27.92,71.59,8.268,28.615,4.182,95.818
"TUR","Turkey","2003",3.541,NA,0.508,NA,NA,NA,26.59,70.43,8.716,28.499,4.364,95.636
"TUR","Turkey","2004",3.611,NA,0.516,NA,NA,NA,23.33,70.31,9.477,26.84,4.364,95.636
"TUR","Turkey","2005",3.855,NA,0.515,NA,NA,NA,23.29,70.56,11.263,25.406,4.364,95.636
"TUR","Turkey","2006",4.057,NA,0.506,NA,NA,NA,23.59,69.88,11.843,24.131,4.364,95.636
"TUR","Turkey","2007",4.452,NA,0.453,NA,NA,NA,23.6,69.75,13.618,23.393,9.107,90.893
"TUR","Turkey","2008",4.355,NA,0.439,NA,NA,NA,24.48,70.14,13.125,22.793,9.107,90.893
"TUR","Turkey","2009",4.381,NA,0.429,NA,NA,NA,26.03,70.55,10.907,22.243,9.107,90.893
"TUR","Turkey","2010",4.32,19.353,0.416,17.038,30.526,10.496,27.61,70.77,13.685,22.081,9.107,90.893
"TUR","Turkey","2011",4.612,18.398,0.381,15.48,29.773,9.939,28.81,71.68,15.043,22.631,14.182,85.818
"TUR","Turkey","2012",4.731,17.837,0.366,14.646,29.512,9.354,29.49,71.05,15.806,21.031,14.182,85.818
"TUR","Turkey","2013",4.536,17.327,0.353,14.543,28.621,8.819,30.76,71.5,15.436,19.994,14.416,85.584
"TUR","Turkey","2014",4.66,16.722,0.348,14.252,27.573,8.342,30.26,71.26,14.074,19.463,14.416,85.584
"TUR","Turkey","2015",4.833,16.817,0.336,14.074,28.45,7.927,31.51,71.59,14.385,19.385,14.909,85.091
"TUR","Turkey","2016",5.011,16.624,0.329,13.536,28.767,7.569,32.45,71.99,14.822,19.608,14.909,85.091
"TUR","Turkey","2017",5.249,16.469,0.31,13.128,29.139,7.139,33.59,72.46,14.983,16.896,14.572,85.428
"TUR","Turkey","2018",5.097,16.397,0.286,13.128,29.296,6.766,34.17,72.66,14.397,16.872,17.45,82.55
"TUR","Turkey","2019",4.824,15.546,0.277,11.863,28.331,6.444,34.36,71.99,14.05,17.009,17.45,82.55
"TUR","Turkey","2020",4.908,15.989,0.277,11.863,29.968,6.135,30.89,68.18,15.218,17.332,17.317,82.683
"TUR","Turkey","2021",5.34,15.545,0.27,11.863,28.905,5.865,32.82,70.27,14.943,17.332,17.333,82.667
"TUR","Turkey","2022",5.34,15.576,0.259,11.863,28.905,5.96,35.11,71.43,13.833,17.332,17.354,82.646
"UKR","Ukraine","1990",13.689,NA,NA,NA,NA,NA,NA,NA,NA,45.319,3.778,96.222
"UKR","Ukraine","1991",12.249,NA,NA,NA,NA,NA,NA,NA,NA,44.878,3.778,96.222
"UKR","Ukraine","1992",11.379,NA,NA,NA,NA,NA,NA,NA,9.589,45.684,3.778,96.222
"UKR","Ukraine","1993",9.856,NA,NA,NA,NA,NA,NA,NA,9.571,51.015,3.778,96.222
"UKR","Ukraine","1994",8.147,NA,NA,NA,NA,NA,NA,NA,7.253,46.248,3.778,96.222
"UKR","Ukraine","1995",7.639,NA,0.468,NA,NA,NA,64.9,73.06,6.853,51.752,3.778,96.222
"UKR","Ukraine","1996",6.95,NA,0.463,NA,NA,NA,64.72,72.53,5.491,52.396,3.778,96.222
"UKR","Ukraine","1997",6.787,NA,0.438,NA,NA,NA,64.55,72.01,5.694,40.553,3.778,96.222
"UKR","Ukraine","1998",6.61,NA,0.426,NA,NA,NA,64.37,71.48,4.513,38.736,3.778,96.222
"UKR","Ukraine","1999",6.054,NA,0.373,NA,NA,NA,54.03,65.74,3.484,38.615,7.778,92.222
"UKR","Ukraine","2000",5.844,NA,0.36,NA,NA,NA,56.02,66.84,5.748,35.834,7.778,92.222
"UKR","Ukraine","2001",6.277,NA,0.344,NA,NA,NA,58.01,67.94,6.83,32.016,7.778,92.222
"UKR","Ukraine","2002",6.168,NA,0.333,NA,NA,NA,58.07,67.56,6.442,27.787,7.778,92.222
"UKR","Ukraine","2003",6.454,NA,0.35,NA,NA,NA,57.88,67.26,6.821,24.973,5.333,94.667
"UKR","Ukraine","2004",6.572,NA,0.341,NA,NA,NA,57.65,66.82,7.399,21.696,5.333,94.667
"UKR","Ukraine","2005",6.683,NA,0.337,NA,NA,NA,57.03,67.94,7.48,20.546,5.333,94.667
"UKR","Ukraine","2006",7.148,NA,0.314,NA,NA,NA,56.77,68.24,8.276,22.696,8.667,91.333
"UKR","Ukraine","2007",7.273,NA,0.314,NA,NA,NA,57.11,68.88,9.129,20.989,8.222,91.778
"UKR","Ukraine","2008",7.077,NA,0.31,NA,NA,NA,57.55,69.83,10.322,18.837,8.222,91.778
"UKR","Ukraine","2009",6.053,NA,0.302,NA,NA,NA,58.12,69.2,7.944,17.048,8,92
"UKR","Ukraine","2010",6.444,8.857,0.296,6.1,12.705,7.765,58.31,69.95,8.547,16.896,8,92
"UKR","Ukraine","2011",6.775,8.743,0.286,6.1,12.543,7.587,58.5,70.7,9.837,15.025,8,92
"UKR","Ukraine","2012",6.704,7.849,0.283,3.599,12.671,7.277,58.6,71.3,8.639,16.754,9.438,90.562
"UKR","Ukraine","2013",6.566,7.72,0.278,3.599,12.61,6.952,57.37,70.29,9.794,16.449,9.438,90.562
"UKR","Ukraine","2014",5.707,7.566,0.242,3.599,12.237,6.861,56.13,69.28,8.407,12.145,11.667,88.333
"UKR","Ukraine","2015",4.975,7.776,0.233,3.599,13.264,6.463,56.2,69.16,7.543,11.105,12.085,87.915
"UKR","Ukraine","2016",5.218,7.523,0.222,3.599,12.889,6.081,55.89,69.08,8.383,10.312,12.019,87.981
