"countryIsoCode","country","year","CONTINENTE","Expected Years of Schooling (years)","Gross National Income Per Capita (2017 PPP$)","Human Development Index (value)","HDI Rank","Life Expectancy at Birth (years)","Mean Years of Schooling (years)"
"SMR","San Marino","2016","EUROPA",12.951,49153.879,0.868,NA,82.973,10.836
"SMR","San Marino","2017","EUROPA",12.42,53913.546,0.867,NA,82.916,10.942
"SMR","San Marino","2018","EUROPA",11.89,53653.617,0.859,NA,82.948,10.801
"SMR","San Marino","2019","EUROPA",12.094,55012.432,0.861,NA,82.986,10.661
"SMR","San Marino","2020","EUROPA",12.413,50895.408,0.844,NA,79.589,10.521
"SMR","San Marino","2021","EUROPA",12.433,55088.312,0.853,NA,80.879,10.521
"SMR","San Marino","2022","EUROPA",12.403,57686.543,0.867,43,83.433,10.521
"SRB","Serbia","2000","EUROPA",13.037,8902.231,0.689,NA,71.439,7.436
"SRB","Serbia","2001","EUROPA",13.095,9535.461,0.699,NA,72.307,7.566
"SRB","Serbia","2002","EUROPA",12.883,10109.135,0.701,NA,72.258,7.695
"SRB","Serbia","2003","EUROPA",12.994,10554.134,0.71,NA,72.442,8.119
"SRB","Serbia","2004","EUROPA",13.036,11509.979,0.721,NA,72.617,8.543
"SRB","Serbia","2005","EUROPA",13.282,12010.711,0.732,NA,72.709,8.966
"SRB","Serbia","2006","EUROPA",13.385,12579.255,0.743,NA,73.355,9.39
"SRB","Serbia","2007","EUROPA",13.433,13407.838,0.753,NA,73.623,9.814
"SRB","Serbia","2008","EUROPA",13.566,14282.074,0.764,NA,73.939,10.237
"SRB","Serbia","2009","EUROPA",13.64,14133.727,0.766,NA,74.038,10.305
"SRB","Serbia","2010","EUROPA",13.549,14206.508,0.768,NA,74.375,10.374
"SRB","Serbia","2011","EUROPA",13.571,14352.871,0.773,NA,74.772,10.572
"SRB","Serbia","2012","EUROPA",14.137,14413.874,0.78,NA,75.106,10.568
"SRB","Serbia","2013","EUROPA",14.279,14799.27,0.785,NA,75.605,10.565
"SRB","Serbia","2014","EUROPA",14.355,14643.744,0.787,NA,75.723,10.721
"SRB","Serbia","2015","EUROPA",14.547,14856.202,0.794,NA,75.817,11.018
"SRB","Serbia","2016","EUROPA",14.66,15290.448,0.8,NA,76.261,11.13
"SRB","Serbia","2017","EUROPA",14.803,15536.124,0.802,NA,76.213,11.162
"SRB","Serbia","2018","EUROPA",14.789,16562.936,0.808,NA,76.511,11.266
"SRB","Serbia","2019","EUROPA",14.727,17311.53,0.812,NA,76.704,11.37
"SRB","Serbia","2020","EUROPA",14.484,17696.164,0.806,NA,75.406,11.505
"SRB","Serbia","2021","EUROPA",14.484,19042.58,0.804,NA,74.192,11.505
"SRB","Serbia","2022","EUROPA",14.504,19494.009,0.805,65,74.137,11.505
"SVK","Slovakia","2000","EUROPA",13.486,15635.489,0.761,NA,73.141,9.949
"SVK","Slovakia","2001","EUROPA",13.461,16272.021,0.768,NA,73.573,10.258
"SVK","Slovakia","2002","EUROPA",13.751,16934.451,0.777,NA,73.767,10.482
"SVK","Slovakia","2003","EUROPA",14.04,16987.129,0.783,NA,73.82,10.706
"SVK","Slovakia","2004","EUROPA",14.298,18093.211,0.793,NA,74.219,10.93
"SVK","Slovakia","2005","EUROPA",14.579,19569.608,0.802,NA,74.157,11.154
"SVK","Slovakia","2006","EUROPA",14.784,21181.713,0.812,NA,74.417,11.378
"SVK","Slovakia","2007","EUROPA",15.036,23479.529,0.822,NA,74.495,11.602
"SVK","Slovakia","2008","EUROPA",15.147,25058.897,0.831,NA,74.864,11.826
"SVK","Slovakia","2009","EUROPA",15.213,23958.022,0.834,NA,75.217,12.05
"SVK","Slovakia","2010","EUROPA",15.26,25132.309,0.841,NA,75.495,12.274
"SVK","Slovakia","2011","EUROPA",15.208,25410.945,0.846,NA,76.017,12.498
"SVK","Slovakia","2012","EUROPA",15.158,26182.268,0.846,NA,76.175,12.377
"SVK","Slovakia","2013","EUROPA",15.119,26579.424,0.849,NA,76.512,12.442
"SVK","Slovakia","2014","EUROPA",14.982,27164.567,0.851,NA,76.847,12.444
"SVK","Slovakia","2015","EUROPA",14.85,28154.474,0.852,NA,76.649,12.638
"SVK","Slovakia","2016","EUROPA",14.672,28827.596,0.855,NA,77.215,12.712
"SVK","Slovakia","2017","EUROPA",14.6,29599.148,0.857,NA,77.219,12.766
"SVK","Slovakia","2018","EUROPA",14.541,30821.927,0.86,NA,77.264,12.866
"SVK","Slovakia","2019","EUROPA",14.524,31292.126,0.863,NA,77.685,12.911
"SVK","Slovakia","2020","EUROPA",14.569,30588.535,0.86,NA,77.005,13.007
"SVK","Slovakia","2021","EUROPA",14.722,31553.204,0.852,NA,74.91,13.007
"SVK","Slovakia","2022","EUROPA",14.722,32171.246,0.855,45,75.33,13.007
"SVN","Slovenia","2000","EUROPA",14.978,26262.181,0.823,NA,76.196,10.5
"SVN","Slovenia","2001","EUROPA",15.792,27176.046,0.838,NA,76.543,10.833
"SVN","Slovenia","2002","EUROPA",16.241,27887.826,0.849,NA,76.79,11.165
"SVN","Slovenia","2003","EUROPA",16.698,28576.689,0.858,NA,76.672,11.498
"SVN","Slovenia","2004","EUROPA",16.389,29613.38,0.864,NA,77.485,11.831
"SVN","Slovenia","2005","EUROPA",16.748,30834.135,0.869,NA,77.715,11.685
"SVN","Slovenia","2006","EUROPA",16.891,32399.434,0.878,NA,78.419,11.814
"SVN","Slovenia","2007","EUROPA",16.933,34096.437,0.881,NA,78.594,11.753
"SVN","Slovenia","2008","EUROPA",17.056,35128.761,0.889,NA,79.135,11.91
"SVN","Slovenia","2009","EUROPA",16.994,32492.556,0.886,NA,79.27,12.025
"SVN","Slovenia","2010","EUROPA",17.08,32910.745,0.89,NA,79.704,12.059
"SVN","Slovenia","2011","EUROPA",16.936,33118.444,0.892,NA,79.99,12.212
"SVN","Slovenia","2012","EUROPA",16.95,32115.864,0.892,NA,80.128,12.28
"SVN","Slovenia","2013","EUROPA",17.683,31809.736,0.901,NA,80.336,12.38
"SVN","Slovenia","2014","EUROPA",17.346,32792.962,0.903,NA,80.941,12.428
"SVN","Slovenia","2015","EUROPA",17.272,32757.596,0.903,NA,80.822,12.567
"SVN","Slovenia","2016","EUROPA",17.458,33966.209,0.909,NA,81.158,12.668
"SVN","Slovenia","2017","EUROPA",17.473,35849.556,0.912,NA,81.071,12.7
"SVN","Slovenia","2018","EUROPA",17.444,37430.819,0.916,NA,81.358,12.752
"SVN","Slovenia","2019","EUROPA",17.325,38436.088,0.918,NA,81.604,12.804
"SVN","Slovenia","2020","EUROPA",17.262,36848.416,0.91,NA,80.441,12.88
"SVN","Slovenia","2021","EUROPA",17.407,39478.014,0.916,NA,80.69,12.88
"SVN","Slovenia","2022","EUROPA",17.407,41586.898,0.926,22,82.133,12.88
"SWE","Sweden","2000","EUROPA",18.693,40652.788,0.903,NA,79.738,11.446
"SWE","Sweden","2001","EUROPA",18.684,41137.923,0.906,NA,79.836,11.629
"SWE","Sweden","2002","EUROPA",18.557,41993.521,0.909,NA,79.935,11.812
"SWE","Sweden","2003","EUROPA",18.557,43404.362,0.914,NA,80.195,11.996
"SWE","Sweden","2004","EUROPA",16.021,44607.663,0.901,NA,80.546,12.179
"SWE","Sweden","2005","EUROPA",16.002,46058.42,0.903,NA,80.621,12.259
"SWE","Sweden","2006","EUROPA",15.961,48518.034,0.907,NA,80.832,12.332
"SWE","Sweden","2007","EUROPA",15.813,50017.765,0.909,NA,80.97,12.401
"SWE","Sweden","2008","EUROPA",15.797,49622.547,0.905,NA,81.137,12.07
"SWE","Sweden","2009","EUROPA",15.797,46568.399,0.904,NA,81.363,12.14
"SWE","Sweden","2010","EUROPA",15.988,49095.84,0.91,NA,81.519,12.207
"SWE","Sweden","2011","EUROPA",15.873,49948.036,0.912,NA,81.758,12.275
"SWE","Sweden","2012","EUROPA",15.912,49406.504,0.912,NA,81.73,12.342
"SWE","Sweden","2013","EUROPA",18.184,49549.564,0.932,NA,81.935,12.233
"SWE","Sweden","2014","EUROPA",18.094,50298.418,0.935,NA,82.223,12.295
"SWE","Sweden","2015","EUROPA",18.321,51362.632,0.937,NA,82.183,12.354
"SWE","Sweden","2016","EUROPA",18.423,51656.233,0.939,NA,82.339,12.414
"SWE","Sweden","2017","EUROPA",18.864,52868.779,0.941,NA,82.438,12.486
"SWE","Sweden","2018","EUROPA",18.895,53389.102,0.943,NA,82.533,12.548
"SWE","Sweden","2019","EUROPA",18.522,54441.038,0.947,NA,83.052,12.61
"SWE","Sweden","2020","EUROPA",18.652,53195.458,0.944,NA,82.427,12.674
"SWE","Sweden","2021","EUROPA",19.037,55907.868,0.949,NA,82.983,12.674
"SWE","Sweden","2022","EUROPA",19.037,56995.848,0.952,5,83.505,12.674
"TUR","Turkey","2000","EUROPA",11.133,15619.346,0.669,NA,71.861,5.449
"TUR","Turkey","2001","EUROPA",11.734,14227.839,0.675,NA,72.231,5.551
"TUR","Turkey","2002","EUROPA",12.107,14903.615,0.685,NA,72.579,5.653
"TUR","Turkey","2003","EUROPA",12.227,15489.014,0.691,NA,72.89,5.756
"TUR","Turkey","2004","EUROPA",12.107,16788.317,0.696,NA,73.24,5.858
"TUR","Turkey","2005","EUROPA",12.031,17991.482,0.701,NA,73.534,5.974
"TUR","Turkey","2006","EUROPA",12.452,18989.617,0.711,NA,73.845,6.061
"TUR","Turkey","2007","EUROPA",12.702,19634.085,0.718,NA,74.193,6.142
"TUR","Turkey","2008","EUROPA",12.54,19518.37,0.721,NA,74.45,6.396
"TUR","Turkey","2009","EUROPA",13.055,18317.234,0.728,NA,74.765,6.57
"TUR","Turkey","2010","EUROPA",13.95,19681.249,0.75,NA,75.069,7.092
"TUR","Turkey","2011","EUROPA",14.5,21574.875,0.763,NA,74.941,7.359
"TUR","Turkey","2012","EUROPA",14.673,22298.171,0.772,NA,75.678,7.487
"TUR","Turkey","2013","EUROPA",16.796,23743.997,0.802,NA,76.297,7.632
"TUR","Turkey","2014","EUROPA",17.317,24492.911,0.812,NA,76.565,7.795
"TUR","Turkey","2015","EUROPA",17.788,25415.686,0.821,NA,76.646,7.958
"TUR","Turkey","2016","EUROPA",18.275,25785.76,0.826,NA,76.66,8.1
"TUR","Turkey","2017","EUROPA",18.673,27238.35,0.833,NA,77.141,8.268
"TUR","Turkey","2018","EUROPA",18.975,28001.27,0.838,NA,77.563,8.451
"TUR","Turkey","2019","EUROPA",19.185,27950.466,0.842,NA,77.832,8.633
"TUR","Turkey","2020","EUROPA",19.295,28380.885,0.835,NA,75.85,8.811
"TUR","Turkey","2021","EUROPA",19.685,31310.012,0.841,NA,76.032,8.811
"TUR","Turkey","2022","EUROPA",19.685,32833.535,0.855,45,78.475,8.811
"UKR","Ukraine","2000","EUROPA",12.799,7100.425,0.698,NA,67.856,10.839
"UKR","Ukraine","2001","EUROPA",13.548,7902.809,0.713,NA,68.181,10.937
"UKR","Ukraine","2002","EUROPA",13.916,8408.251,0.721,NA,68.173,11.034
"UKR","Ukraine","2003","EUROPA",14.272,9293.322,0.73,NA,68.209,11.131
"UKR","Ukraine","2004","EUROPA",14.254,10487.59,0.739,NA,68.402,11.229
"UKR","Ukraine","2005","EUROPA",14.52,10857.585,0.743,NA,68.151,11.326
"UKR","Ukraine","2006","EUROPA",14.722,11674.101,0.752,NA,68.741,11.363
"UKR","Ukraine","2007","EUROPA",14.907,12768.994,0.759,NA,68.766,11.399
"UKR","Ukraine","2008","EUROPA",15.04,13015.596,0.763,NA,69.117,11.436
"UKR","Ukraine","2009","EUROPA",15.072,11099.325,0.761,NA,70.247,11.472
"UKR","Ukraine","2010","EUROPA",15.06,11795.401,0.766,NA,70.621,11.509
"UKR","Ukraine","2011","EUROPA",15.036,12320.171,0.772,NA,71.387,11.44
"UKR","Ukraine","2012","EUROPA",15.059,12839.41,0.774,NA,71.627,11.371
"UKR","Ukraine","2013","EUROPA",14.928,12824.773,0.774,NA,71.862,11.302
"UKR","Ukraine","2014","EUROPA",14.93,12237.292,0.774,NA,72.591,11.233
"UKR","Ukraine","2015","EUROPA",13.771,11671.553,0.764,NA,73.458,11.164
"UKR","Ukraine","2016","EUROPA",13.636,11649.481,0.767,NA,74.312,11.156
"UKR","Ukraine","2017","EUROPA",13.676,12032.755,0.771,NA,74.718,11.148
"UKR","Ukraine","2018","EUROPA",13.643,12455.67,0.771,NA,74.412,11.14
"UKR","Ukraine","2019","EUROPA",13.712,12964.437,0.774,NA,74.536,11.131
"UKR","Ukraine","2020","EUROPA",13.588,12699.311,0.762,NA,72.573,11.123
"UKR","Ukraine","2021","EUROPA",13.328,12566.904,0.755,NA,71.624,11.123
"UKR","Ukraine","2022","EUROPA",13.328,11416.217,0.734,100,68.564,11.123
